Something	101-030716-JAP_(Rat230_2).CEL	102-030716-JAP_(Rat230_2).CEL	104-030716-JAP_(Rat230_2).CEL	105-030716-JAP_(Rat230_2).CEL	106-030716-JAP_(Rat230_2).CEL	107-030716-JAP_(Rat230_2).CEL	109-030716-JAP_(Rat230_2).CEL	110-030716-JAP_(Rat230_2).CEL	112-030716-JAP_(Rat230_2).CEL	113-030716-JAP_(Rat230_2).CEL	115-030716-JAP_(Rat230_2).CEL	117-030716-JAP_(Rat230_2).CEL	118-030716-JAP_(Rat230_2).CEL	119-030716-JAP_(Rat230_2).CEL	120-030716-JAP_(Rat230_2).CEL	122-030716-JAP_(Rat230_2).CEL	123-030716-JAP_(Rat230_2).CEL	124-030716-JAP_(Rat230_2).CEL	125-030716-JAP_(Rat230_2).CEL	126-030716-JAP_(Rat230_2).CEL	128-030716-JAP_(Rat230_2).CEL	129-030716-JAP_(Rat230_2).CEL	130-030716-JAP_(Rat230_2).CEL	131-030716-JAP_(Rat230_2).CEL	132-030716-JAP_(Rat230_2).CEL	133-030716-JAP_(Rat230_2).CEL	134-030716-JAP_(Rat230_2).CEL	135-030716-JAP_(Rat230_2).CEL
1383909_at	6.589133	6.267918	6.2326818	6.191933	6.465671	5.7486486	6.2652535	6.0542536	6.3207064	5.8711624	5.516717	6.049491	6.2449737	6.0507326	6.3155127	6.3085685	6.149909	6.4542036	5.999972	5.8899255	6.2934494	6.519298	6.409362	5.9828944	6.2259517	6.211886	6.4016657	6.094689
1383910_at	6.496021	6.609369	6.681261	7.153488	6.7634797	6.4379926	6.626429	6.6093235	6.5344315	6.697706	6.900788	6.3153296	6.6882772	6.8187504	6.721608	6.3834114	6.9391146	6.7981606	6.6907015	6.6757874	6.9517817	6.693585	6.656184	6.523316	6.7468004	6.3106146	6.4349375	6.7124834
1383911_at	2.6995974	2.9249613	2.7338061	2.782615	2.882077	2.7948363	2.7424338	2.9305394	2.5618694	2.9024682	2.4952016	2.6898334	2.764905	2.5290902	2.600049	2.8374338	2.6105638	2.6805298	2.6145847	2.6215205	2.682744	2.6896498	2.6918042	2.2811873	2.8997214	2.838507	2.761519	2.6019363
1383913_at	4.8254232	4.82992	4.942687	5.038533	4.7287827	4.794363	4.6369815	5.5243387	4.896002	4.6554127	4.988572	4.3577867	4.747468	5.004532	4.6097717	4.7759175	4.6944094	4.755396	4.8151655	4.907119	4.7807875	4.557046	4.858392	5.1067114	4.9163647	5.0741825	4.898965	4.4767027
1383914_at	5.440852	5.6426334	5.232759	5.5769205	5.5264187	5.5644903	5.4438396	5.441454	5.8157225	5.3726687	5.5242667	5.3952913	5.6057873	5.5342774	4.9909534	5.1865125	5.5321684	5.486459	5.765393	5.3520656	5.800917	5.8027024	5.6222816	5.6386533	5.562166	5.647872	5.316987	5.5315924
1383915_at	4.156582	4.2464905	4.529455	4.069724	4.0655265	4.1033545	4.494322	4.1843176	3.9121647	4.554364	4.3182	4.036491	4.0321255	4.268424	4.1029005	4.4161897	4.2600675	4.22225	4.3555884	4.1948605	4.052043	4.3024077	4.35181	3.9876688	4.1543384	4.259063	4.009647	3.9284947
1383916_at	2.4465768	2.4266582	2.2936273	2.3662043	2.2980273	2.578406	2.3952851	2.2927508	2.369305	2.2699118	2.3066976	2.4849274	2.38173	2.359534	2.291104	2.3389623	2.4463356	2.2733476	2.4919934	2.3947144	2.3342388	2.3905995	2.4757853	2.6061924	2.2879868	2.3681278	2.2971141	2.452824
1383917_at	6.923567	6.727931	6.961953	6.9003115	7.008603	7.0411677	7.1309986	6.7936764	7.039005	6.81538	6.9300785	7.0931044	6.827141	6.8357105	6.910436	6.8406386	6.9969974	6.8444123	6.8406773	6.6994934	6.908229	6.8434567	7.0454226	6.9296665	6.809803	6.7882214	6.598026	6.7092
1383918_at	5.0369263	4.930197	5.0592556	5.2272267	5.046133	5.0521812	5.0137453	5.1202517	4.986021	5.185935	5.43095	5.2155266	5.207512	5.316345	5.155262	5.3527946	5.1641965	5.10368	5.275675	4.966672	5.2183943	5.2429447	5.018082	5.08634	4.934124	5.220991	5.048625	5.111991
1383919_at	3.3272214	3.4823678	3.3571787	3.2922711	3.3103588	3.3646276	3.2316794	3.2716951	3.2409282	3.4227123	2.9192564	3.3514144	3.3045585	3.1418896	2.9928362	3.532956	3.2110777	2.9717317	3.383152	3.188674	3.5166817	3.3446286	3.6497762	3.253849	3.3954978	3.2563982	3.7557755	3.6291342
1383920_at	8.86053	8.820285	8.65953	8.518605	8.689121	8.726391	8.616064	8.7174	8.748447	8.690428	8.463115	8.695498	8.7345	8.777815	8.852635	8.800857	8.825277	8.737686	8.784354	8.614199	8.832858	8.788476	8.701699	8.735043	8.766342	8.786433	8.958576	8.93898
1383921_at	4.2993464	4.250745	3.5511088	3.4603765	3.8171158	3.4058313	3.7251368	4.0709486	4.0725565	3.8786993	3.552981	3.3806784	3.8454118	4.036045	3.876301	3.6769068	3.5184255	3.6233575	3.7258878	3.5948384	3.995959	4.002514	3.7967327	3.856794	3.8801036	3.906174	3.8537555	3.6770825
1383922_a_at	6.2978697	6.3819156	6.04203	5.664771	6.192037	6.133569	5.7935605	5.986479	6.2647123	5.845833	5.7608128	6.019143	6.1465635	5.9511604	6.111587	6.2680097	6.059392	6.1753874	6.081806	6.0337505	6.1340737	6.4649205	5.8673973	5.9691076	5.8086376	5.813121	5.9301405	6.076969
1383923_at	5.0856867	5.458067	5.362074	5.6243505	5.2463713	5.4136496	5.4406548	5.484456	5.1055326	5.604512	5.1902018	5.768035	5.1735525	5.3424397	5.4828253	5.4039745	5.2228746	5.310709	5.2151213	5.6584883	5.1100626	5.242407	4.936392	5.1483974	5.2945595	5.720584	5.5151567	5.319783
1383924_at	4.454065	4.535951	4.311392	4.503344	4.5897264	4.387926	4.49063	4.6304464	4.7640285	4.448944	4.736801	4.591723	4.734327	4.3675494	4.474332	4.3472576	4.4018383	4.524497	4.7107344	4.7610383	4.6492815	4.4166627	4.4991074	4.5841875	4.2861786	4.511467	4.8501644	4.478243
1383925_at	5.7301564	5.6584163	5.9690766	5.9823904	6.038068	5.782947	5.6428795	5.918031	5.8876143	6.111668	5.8233275	5.7921987	5.89082	5.7771215	5.9808245	5.6221523	5.8330593	5.795073	6.019368	5.862618	5.7967453	5.851247	5.7016463	5.665155	5.9106283	5.7642913	5.705089	6.023765
1383927_at	2.8722146	2.4882257	2.6935415	2.7693589	2.4997766	2.753206	2.6118243	2.6748967	2.6182709	2.7928796	2.5511243	2.7793155	2.540031	2.5101357	2.7458725	2.617723	2.9460094	2.6286964	2.6192791	2.578408	2.6140718	2.6332564	2.5031066	2.5849817	2.680462	2.6118243	2.680263	2.601661
1383928_a_at	7.0374985	6.9377437	6.8032575	6.739435	6.8166533	6.804739	6.7664695	6.7511306	6.8839016	6.754692	6.421137	6.8296833	7.0148563	6.822402	6.6655116	7.066177	6.627655	6.584249	6.9188075	6.4771733	6.963978	6.8912215	6.8128366	6.709859	6.487021	6.5816207	6.6974998	6.862301
1383929_at	7.462446	7.5963383	7.941356	8.011944	7.9786987	7.5920587	7.905881	7.6182017	7.609264	7.514788	7.4257665	7.5462213	7.717049	7.434083	7.6866264	7.7364798	7.5073686	7.615775	7.5208607	7.9219193	7.6150556	7.4955626	7.46319	6.712892	7.7177258	7.580591	7.595734	7.2744665
1383930_at	2.7581716	2.4922016	2.655222	2.652006	2.5486624	2.606468	2.6133707	2.6464374	2.677667	2.6860886	2.6772108	2.6915557	2.4453325	2.712762	2.5827336	2.5266542	2.702219	2.563674	2.691712	2.548437	2.7438817	2.6871939	2.6212983	2.6718645	2.559516	2.4956088	2.403845	2.588132
1383931_at	6.571708	6.662141	6.702187	6.6821017	6.327079	6.5589104	6.477871	6.7008653	6.6164393	6.5510716	6.356606	6.4953485	6.812866	6.6002736	6.536288	6.7139397	6.525397	6.607344	6.7491755	6.5676837	6.6588135	6.3161507	6.4791865	6.4297504	6.6972027	6.6827874	6.4749265	6.30163
1383932_at	3.2980676	3.1910732	3.29961	3.2435842	3.0820606	3.1167636	3.3681602	3.2303402	3.244224	3.3294744	3.3354428	3.3814094	3.358763	3.1588194	3.39664	3.1868343	3.5039153	3.4368305	3.0312846	3.103229	3.2455149	3.0805264	3.1885772	3.2036264	3.3782861	2.8656077	3.1614306	2.9518092
1383933_at	8.064401	8.076621	7.8742175	7.5933766	7.9273868	7.7722116	8.010966	7.9213758	7.8840213	7.87513	7.427553	7.524291	8.061328	8.07671	7.8264613	8.321865	7.8856335	8.041019	7.874619	7.90439	7.9789605	8.307219	8.28402	7.9814982	7.997419	7.8525386	7.796198	7.9171815
1383934_at	4.514354	4.5188303	4.7480087	4.3856378	4.594366	4.5290337	4.5334606	4.8181	4.323345	4.5099945	4.793027	4.7047596	4.8021164	4.8033524	4.5434513	4.592707	4.62337	4.792364	4.7296553	4.5670366	4.555602	4.432973	4.4680395	4.8170786	4.527006	4.757556	4.507514	4.73249
1383936_at	5.4287033	5.382643	5.4487615	5.402558	5.475091	5.496731	5.441148	5.5840626	5.34383	5.288815	5.7953515	5.392083	5.6135416	5.3688827	5.7243404	5.5591784	5.4280653	5.5864015	5.467985	5.3534966	5.3626914	5.5317726	5.409542	5.4550505	5.360032	5.2675133	5.415868	5.438546
1383937_at	3.5667152	3.5871394	3.5698822	3.5812805	3.480341	3.6821442	3.5575209	3.5590065	3.6176343	3.818334	3.8297553	3.6804569	3.5805557	3.6441212	3.677127	3.614996	3.8412483	3.5596433	3.6813254	3.768197	3.534686	3.726708	3.6105423	3.7294183	3.7915928	3.5684502	3.5537863	3.4809117
1383938_at	6.904832	7.0142937	6.6396413	6.7696004	6.7547507	6.9773884	6.7375226	7.080537	6.7710414	6.753719	6.4396076	6.401722	6.799005	6.7237816	6.5134363	6.71113	6.672559	6.9460235	6.6833606	6.5648813	6.8096166	6.787312	6.570936	6.652244	6.753608	6.6008606	6.509729	6.6254516
1383939_at	6.796259	6.9663477	6.669655	7.0505905	7.144164	6.5072045	6.5455785	6.840319	6.4824023	6.9116235	6.863952	6.665114	6.3028154	6.769823	6.9048553	6.2131796	6.874564	6.6845226	6.7808385	6.378635	6.138379	7.018588	6.2477536	6.4071765	6.229442	6.328506	6.181165	6.527657
