Something	601-030116-MW_(Rat230_2).CEL	602-030116-MW_(Rat230_2).CEL	603-030116-MW_(Rat230_2).CEL	605-030116-MW_(Rat230_2).CEL	607-030116-MW_(Rat230_2).CEL	608-030116-MW_(Rat230_2).CEL	609-030116-MW_(Rat230_2).CEL	610-030116-MW_(Rat230_2).CEL	612-030116-MW_(Rat230_2).CEL	613-030116-MW_(Rat230_2).CEL	614-030116-MW_(Rat230_2).CEL	615-030116-MW_(Rat230_2).CEL	616-030116-MW_(Rat230_2).CEL	618-030116-MW_(Rat230_2).CEL	619-030116-MW_(Rat230_2).CEL	620-030116-MW_(Rat230_2).CEL	621-030116-MW_(Rat230_2).CEL	622-030116-MW_(Rat230_2).CEL	623-030116-MW_(Rat230_2).CEL	625-030116-MW_(Rat230_2).CEL	627-030116-MW_(Rat230_2).CEL	628-030116-MW_(Rat230_2).CEL	629-030116-MW_(Rat230_2).CEL	630-030116-MW_(Rat230_2).CEL	631-030116-MW_(Rat230_2).CEL	632-030116-MW_(Rat230_2).CEL	633-030116-MW_(Rat230_2).CEL	635-030116-MW_(Rat230_2).CEL	636-030116-MW_(Rat230_2).CEL
1398956_at	8.296633	8.051643	8.450501	8.387425	8.281224	8.373674	8.675918	8.335968	8.530245	8.303457	8.641998	8.40515	8.387003	8.436654	8.401685	8.259264	8.452198	8.510924	8.283657	8.462004	8.215656	8.5441265	8.42138	8.472072	8.473307	8.527007	8.331232	8.50579	8.543712
1398957_at	7.1941366	7.3007345	7.4492145	7.5151267	7.200749	7.3668528	7.4433265	7.4611135	7.483577	7.352722	7.543008	7.262357	7.354	7.57791	7.379598	7.181457	7.3722157	7.59282	7.276493	7.2396274	7.4001856	7.3660154	7.464255	7.4804764	7.5072036	7.4760547	7.335654	7.169992	7.530452
1398958_at	6.992821	7.2942038	7.0754213	7.0956297	7.168187	7.193254	7.4105754	7.176743	7.0232353	7.3244247	7.294469	7.19722	7.204563	7.219439	7.2699094	7.3593497	7.26375	7.145152	7.095535	7.2580137	7.3727536	7.267538	7.3091855	7.2924356	7.3201346	7.199606	7.4968476	7.083649	7.3381615
1398959_at	8.628536	8.461393	8.7090435	8.767061	8.557491	8.689739	8.829496	8.775108	8.749996	8.688585	8.860701	8.653473	8.557968	8.730049	8.770226	8.598516	8.809174	8.643166	8.566676	8.610569	8.503532	8.681288	8.666887	8.534962	8.705011	8.783472	8.469997	8.591721	8.776657
1398960_at	10.224461	10.347212	10.135313	10.209429	10.245655	10.454546	10.145475	10.218693	10.52844	10.163124	10.325827	10.251766	10.423986	10.182011	10.1317215	10.234802	9.983841	10.443476	10.141314	10.353931	10.185303	10.117374	10.259415	10.127026	9.968241	10.283131	10.183605	10.245127	10.254267
1398961_at	10.560339	10.497904	10.558727	10.592669	10.675308	10.622377	10.608646	10.599558	10.540165	10.52375	10.549332	10.509941	10.577894	10.65188	10.737204	10.616373	10.702274	10.579117	10.473059	10.56077	10.646885	10.609859	10.581408	10.610256	10.623388	10.621637	10.513065	10.603064	10.552715
1398962_at	9.004932	8.8336315	8.862404	8.837203	8.9080105	8.943758	9.012551	8.787458	9.064537	8.931563	8.9996605	9.071272	9.009268	8.957126	8.974283	9.152759	8.712042	8.8925	8.833922	9.087806	9.014164	8.927606	8.87027	9.070792	9.117922	8.888673	9.205799	9.044714	9.09984
1398963_at	9.840822	9.831481	9.741837	9.660486	9.914391	9.8795395	9.759537	9.694874	9.941162	9.762424	9.701067	9.868092	9.8877125	9.838911	9.712766	10.091307	9.674574	9.59804	9.821554	9.908502	9.797534	9.727593	9.6313095	9.839214	9.720163	9.615572	9.947114	9.730585	9.828638
1398964_at	10.746205	10.90485	10.92974	10.84628	10.837137	10.858941	10.878866	10.913298	10.778444	10.838387	10.845355	10.746083	10.81246	10.921798	10.777893	10.894793	10.938833	10.887785	10.803983	10.916345	10.867439	10.833937	10.830533	10.853666	10.834435	10.976289	10.883995	10.823492	10.922752
1398965_at	8.234594	8.099455	8.45431	8.325705	8.181274	8.143349	8.5151825	8.247244	8.343472	8.26606	8.3262615	8.278723	8.098173	8.399746	8.30167	8.2904	8.301132	8.378263	8.272238	8.083727	8.112793	8.377672	8.2907295	8.296905	8.299065	8.313631	8.225433	8.029646	8.423826
1398966_at	9.351024	9.324039	9.314114	9.33255	9.436502	9.388462	9.360314	9.263482	9.427174	9.416607	9.354807	9.46908	9.379171	9.302367	9.324539	9.487278	9.276026	9.360807	9.226201	9.340787	9.358107	9.304512	9.282351	9.303043	9.293742	9.253642	9.52174	9.325125	9.401057
1398967_at	7.404843	7.340118	7.6333785	7.5618916	7.474549	7.5163465	7.585455	7.5241528	7.3856173	7.4922748	7.668154	7.4260774	7.573965	7.5159216	7.564864	7.50204	7.499305	7.5264897	7.2558336	7.5244823	7.5059094	7.47861	7.5343447	7.5011425	7.531411	7.510235	7.540391	7.275575	7.559928
1398968_at	8.92432	8.892799	8.871717	8.86919	8.846048	8.898817	9.009352	8.900185	8.909012	8.772987	8.897989	8.774708	8.91054	8.5907135	8.848875	8.692186	8.9218	8.935051	8.834978	8.907305	8.8439865	8.805243	8.931932	8.9729	9.0320015	8.996197	8.850254	8.930891	8.886047
