Something	030816-MW-502_(Rat230_2).CEL	030816-MW-504_(Rat230_2).CEL	030816-MW-506_(Rat230_2).CEL	031516-MW-503_(Rat230_2).CEL	030816-MW-520_(Rat230_2).CEL	030816-MW-508_(Rat230_2).CEL	030816-MW-510_(Rat230_2).CEL	030816-MW-511_(Rat230_2).CEL	031516-MW-509_(Rat230_2).CEL	030816-MW-513_(Rat230_2).CEL	030816-MW-514_(Rat230_2).CEL	030816-MW-515_(Rat230_2).CEL	030816-MW-516_(Rat230_2).CEL	031516-MW-517_(Rat230_2).CEL	030816-MW-526_(Rat230_2).CEL	030816-MW-521_(Rat230_2).CEL	030816-MW-522_(Rat230_2).CEL	030816-MW-523_(Rat230_2).CEL	031516-MW-519_(Rat230_2).CEL	030816-MW-531_(Rat230_2).CEL	030816-MW-528_(Rat230_2).CEL	030816-MW-529_(Rat230_2).CEL	031516-MW-527_(Rat230_2)_2.CEL	031516-MW-530_(Rat230_2).CEL	030816-MW-532_(Rat230_2).CEL	030816-MW-534_(Rat230_2).CEL	031516-MW-535_(Rat230_2).CEL	031516-MW-536_(Rat230_2).CEL	030816-MW-507_(Rat230_2).CEL
1398266_a_at	3.4530694	3.217686	3.3690228	3.4295335	3.0808935	3.312622	3.0189319	3.2060833	3.0968015	2.955114	3.0549066	2.9797883	3.1698163	3.692871	2.8010693	3.217323	3.2649875	3.1776986	3.1104553	3.257681	3.0933108	3.138056	3.1776986	3.390183	3.1606998	3.2001526	2.8368554	3.4657276	3.335629
1398267_at	10.887618	10.783675	10.872425	10.853871	10.819832	10.989061	10.838544	10.799731	10.74971	10.73666	10.593497	10.848444	10.854174	10.798714	10.848048	10.76179	10.78402	10.93271	10.787955	10.856551	10.818759	10.763166	10.81571	10.680784	10.826997	10.645523	10.79127	10.800133	11.042379
1398268_at	8.181505	8.111658	8.1562195	8.169724	8.169271	8.2248535	8.214647	8.0945015	8.163684	8.158824	8.31222	8.304567	8.341803	8.134935	8.241234	8.294204	8.112413	8.173773	8.071218	8.1967945	8.103547	8.2122345	8.170469	8.1405945	8.105656	8.156256	8.145994	8.162801	8.115491
1398269_at	4.4797144	4.375618	4.355393	4.106746	4.446847	4.1556234	3.964282	4.226734	4.2664247	3.9654844	4.4815345	4.313187	4.6388445	4.361046	4.1267962	4.2548122	4.2913713	4.4373827	4.3854284	4.334882	4.130481	4.037965	3.9726505	4.0932956	4.21851	4.122377	3.972365	4.2158117	3.9976544
1398270_at	7.442849	7.710353	7.659569	7.6300163	7.606282	7.4999275	7.434404	7.4735513	7.520605	7.471738	7.671073	7.44219	7.346715	7.3078914	7.415549	7.59599	7.78018	7.64418	7.3542786	7.6470556	7.7322435	7.7332845	7.7071505	7.1915708	7.485956	7.377689	7.448594	7.4236917	7.597995
1398271_at	3.561297	3.5387287	3.646816	3.5581703	3.5736187	3.5934632	3.4587379	3.5197415	3.683589	3.4222803	3.564313	3.2597742	3.7191029	4.1495843	3.3648744	3.443311	3.7278137	3.4008627	3.5702085	3.4784966	3.3740344	3.3470678	3.575166	3.9956722	3.6528108	3.3012843	3.472693	3.661141	3.5893216
1398272_at	6.9198236	6.9943953	6.957398	6.9157863	6.998911	7.2144465	6.8995867	6.730242	6.6846466	6.770443	6.9335556	7.221446	6.931885	6.485736	6.957101	6.971133	6.8314967	7.1166525	6.7368307	7.140548	6.946477	6.7712536	7.2705617	6.651611	6.8832726	6.802559	6.709465	6.8155527	7.0282073
1398273_at	8.438748	8.483864	8.297408	8.147415	8.191847	8.981067	8.617508	8.572283	8.135925	8.360268	8.458963	8.048882	8.255461	8.524605	8.255573	8.2306	8.681745	8.560081	9.053233	9.153241	8.562618	8.8533745	8.666089	8.509976	8.52314	8.675655	8.730816	8.299074	8.753557
1398274_at	4.6730022	4.6981936	4.7663026	5.0433135	4.582554	4.583106	4.6096478	4.7300367	4.9130306	4.5696363	4.81478	4.586977	4.72031	5.2054634	4.688222	4.4317317	4.5097046	4.505375	4.6446295	4.7379007	4.552327	4.612565	4.4473877	5.175518	4.647745	4.803588	4.5621567	4.598648	4.5490403
1398275_at	2.7908158	2.9028435	2.7996678	3.0025501	3.1773086	2.4994788	2.9455042	2.8344755	3.0385303	2.9549944	2.754602	2.828227	2.6312737	3.1343782	2.9580927	2.6544733	2.7292519	2.7973685	3.3796062	2.814834	2.838706	2.7905672	2.57556	2.9083483	2.8894393	2.8836708	2.633141	2.7365313	3.1084251
