Something	702-030916-MW_(Rat230_2).CEL	703-030916-MW_(Rat230_2).CEL	705-030916-MW_(Rat230_2).CEL	706-030916-MW_(Rat230_2).CEL	707-030916-MW_(Rat230_2).CEL	708-030916-MW_(Rat230_2).CEL	710-030916-MW_(Rat230_2).CEL	712-030916-MW_(Rat230_2).CEL	713-030916-MW_(Rat230_2).CEL	714-030916-MW_(Rat230_2).CEL	715-030916-MW_(Rat230_2).CEL	717-030916-MW_(Rat230_2).CEL	719-030916-MW_(Rat230_2).CEL	720-030916-MW_(Rat230_2).CEL	721-030916-MW_(Rat230_2).CEL	724-030916-MW_(Rat230_2).CEL	726-030916-MW_(Rat230_2).CEL	727-030916-MW_(Rat230_2).CEL	728-030916-MW_(Rat230_2).CEL	729-030916-MW_(Rat230_2).CEL	730-030916-MW_(Rat230_2).CEL	732-030916-MW_(Rat230_2).CEL	733-030916-MW_(Rat230_2).CEL	734-030916-MW_(Rat230_2).CEL	735-030916-MW_(Rat230_2).CEL	736-030916-MW_(Rat230_2).CEL
1393055_at	5.771844	5.8135777	6.0189476	5.6536956	5.8528924	5.602507	5.741114	5.5111856	6.3917127	5.7222567	6.039315	5.565635	5.9557085	5.714782	5.6938396	5.6219797	5.980723	5.7231765	6.048606	5.4899096	6.127412	5.6420965	5.6943865	5.6572	5.9486384	5.878968
1393061_at	9.8483925	9.65309	9.451313	9.66568	9.727119	9.831627	9.594506	9.932673	9.755215	9.407111	9.746958	9.6764765	9.349338	9.480791	9.738115	9.657427	9.766426	9.654503	9.713057	9.943388	9.667386	9.976604	9.45128	9.485342	9.780757	9.903607
1393062_at	7.101836	7.252618	6.999744	7.2168603	7.2796135	7.1718116	7.273844	7.064911	7.133813	7.108654	7.447308	7.1364098	6.943425	7.040512	7.10599	7.0899467	7.154155	7.1510916	7.1123967	7.3080535	7.32025	7.3361654	7.036018	7.1338468	7.169262	7.4690943
1393071_at	3.0142255	2.8338346	3.0388508	3.090926	2.9011679	2.773654	2.7921145	2.9592445	2.9081995	3.0271013	2.9178312	2.9599216	2.8960977	2.9337366	3.0429912	2.9689238	2.9410863	3.0756032	2.8214793	2.945649	2.6736743	2.7609916	3.1107113	3.009302	3.0678318	3.0525916
1393093_at	5.925188	6.3250284	6.1343412	5.948945	5.8672643	6.114025	5.945953	6.0927515	5.8392334	5.8818665	6.1777067	6.136066	6.0819826	5.979057	6.1544757	6.2730103	6.0883727	6.180173	6.010951	6.1268034	5.9230776	6.055289	6.0848	6.100085	6.0525584	6.0926266
1393112_at	5.0303526	5.0678287	5.2094555	5.3292694	5.1930037	5.268611	5.282746	5.205918	5.3261147	5.3734584	4.9966474	5.1620603	5.1799283	5.263425	5.2374816	5.235054	5.199619	5.039902	4.897663	5.3502407	5.1758585	4.8316298	5.4986796	5.24033	5.019727	5.0594735
1393113_at	4.019884	3.8771672	4.2388663	4.0220304	4.039916	4.091434	3.8709888	4.000865	3.966805	4.191446	3.8219898	3.9569738	3.8675084	3.9181428	4.2774034	3.891428	3.8076384	3.907259	3.9187877	4.1791167	3.909566	3.896215	3.9447613	3.7853217	4.166775	3.8806825
1393130_at	2.9736633	2.8711526	3.1620884	3.187634	3.2251668	2.9379618	2.88664	3.5033603	3.149871	3.1882095	3.1565552	3.0498307	3.221629	3.232617	3.3627152	3.2871962	3.1064656	3.0330355	3.2729836	3.3702157	3.517741	3.1508148	3.197521	3.1905503	3.3657193	3.3669543
1393163_at	4.2444057	4.0578127	4.004033	4.2284336	4.005764	4.0688076	4.106819	4.2060165	4.1897697	4.13704	4.0851736	4.0766397	4.1882925	3.994569	4.3565426	3.829365	4.154623	4.1316767	3.8441586	4.180889	3.7565014	4.1267138	4.31353	4.049988	4.0225286	3.920737
1393204_at	3.7027628	3.940828	3.8528576	3.7894554	4.084454	3.9123895	3.4058616	3.4279919	3.7502856	3.7624202	3.7640476	4.190877	3.8708234	4.0649447	4.0091853	3.8290012	3.680422	4.145773	4.0734916	3.9085379	3.9351711	3.96816	3.7360911	3.9618275	3.667652	3.9231153
1393207_at	5.990818	5.979527	6.056494	6.292643	6.0125484	6.200764	6.0992675	6.060648	5.959171	6.1302123	5.946928	5.8526764	6.115531	6.167919	6.123584	6.200809	6.030573	6.125588	6.0667686	6.1955256	6.0332456	5.996828	6.214021	6.017945	6.2497168	6.0402303
1393221_at	7.5934067	7.8956738	8.704368	7.9760227	7.9519873	7.921359	7.8555984	7.904853	7.6691575	7.7644415	7.7036514	8.010165	8.15602	8.137312	8.198543	7.905219	8.056106	7.968946	7.5840254	7.9747057	7.9069395	8.02498	7.9431705	8.073282	8.142822	8.0698595
1393224_at	8.116096	7.7755938	8.144575	7.9006486	8.198144	8.058344	8.152728	8.294531	7.988764	8.112817	8.283333	7.7256136	8.315483	7.6948895	7.583222	8.182945	8.488222	8.1696615	7.5575056	8.116788	7.909622	8.116867	8.0230255	8.481056	7.8665876	8.147778
1393233_at	6.1518393	6.2659388	6.0378547	5.953905	5.989201	5.964333	6.034277	6.0656714	6.048571	6.0152516	6.200811	6.1548767	6.1349506	5.954253	5.792736	5.885727	6.057888	6.018321	6.043178	5.696066	6.29666	5.9306836	5.901894	6.120447	5.947429	6.154333
1393239_at	9.821682	9.737038	10.169455	9.662321	9.955656	9.934582	9.961884	9.875816	9.732033	10.016098	9.92281	9.833445	9.959602	9.785011	9.637035	9.946621	10.004002	9.947344	9.926712	9.755955	9.917362	9.76877	9.92162	9.96426	10.0001545	9.938694
1393251_at	4.220135	4.4543552	4.0466256	4.0954137	4.338693	4.3932166	4.208926	4.127303	4.49901	4.385205	4.616659	4.2634506	4.6685514	4.200995	4.6565824	4.0420732	4.3330336	4.5327506	4.5791154	4.4442067	4.9647493	4.228327	4.1496058	4.4284353	4.2184067	4.7062936
1393268_at	3.956643	3.8165107	3.741948	3.584585	3.8054612	3.4741135	3.4963293	3.6801918	3.451233	3.8634763	3.542102	3.6694422	3.7944365	3.7306776	4.0305214	3.7661552	3.6619973	3.621944	4.0322328	3.5751302	3.649154	3.9877315	3.8640301	3.9022214	3.7867215	3.8027816
1393280_at	6.7393594	6.8446937	6.7978635	6.758521	6.591632	6.719108	6.637704	6.641574	6.3443823	6.726623	6.593429	6.9240956	6.778741	6.7394257	6.7979064	6.6924634	6.6079984	6.8209195	6.5845366	6.8776755	6.7423787	6.4784236	6.732458	6.7797823	6.620783	6.7098565
1393285_at	3.3890252	3.4352658	3.3367043	3.4822986	3.1951983	3.2447472	3.4400492	3.6107578	3.268679	3.4349387	3.4133592	3.1932087	3.46314	3.5842807	3.308399	3.3572192	3.498348	3.667163	3.2216644	3.4449966	3.088837	3.1690552	3.6015286	3.4474514	3.5594263	3.4338908
