Something	401-031616-JAP_(Rat230_2).CEL	402-031616-JAP_(Rat230_2).CEL	404-031616-JAP_(Rat230_2).CEL	405-031616-JAP_(Rat230_2).CEL	406-031616-JAP_(Rat230_2).CEL	407-031616-JAP_(Rat230_2).CEL	408-031616-JAP_(Rat230_2).CEL	410-031616-JAP_(Rat230_2).CEL	411-031616-JAP_(Rat230_2).CEL	412-031616-JAP_(Rat230_2).CEL	413-031616-JAP_(Rat230_2).CEL	414-031616-JAP_(Rat230_2).CEL	416-031616-JAP_(Rat230_2).CEL	417-031616-JAP_(Rat230_2).CEL	418-031616-JAP_(Rat230_2).CEL	419-031616-JAP_(Rat230_2).CEL	421-031616-JAP_(Rat230_2).CEL	422-031616-JAP_(Rat230_2).CEL	423-031616-JAP_(Rat230_2).CEL	424-031616-JAP_(Rat230_2).CEL	425-031616-JAP_(Rat230_2).CEL	426-031616-JAP_(Rat230_2).CEL	427-031616-JAP_(Rat230_2).CEL	428-031616-JAP_(Rat230_2).CEL	429-031616-JAP_(Rat230_2).CEL	431-031616-JAP_(Rat230_2).CEL	432-031616-JAP_(Rat230_2).CEL	433-031616-JAP_(Rat230_2).CEL	435-031616-JAP_(Rat230_2).CEL	436-031616-JAP_(Rat230_2).CEL
1376737_at	5.938421	5.6795535	6.0584273	5.761858	6.283873	5.6617928	6.13153	6.059287	6.07232	6.062172	6.1876345	5.7554617	6.3753967	6.2974124	5.856301	5.985585	5.7924004	5.6001124	6.1650286	6.240263	6.232657	6.55887	5.7660623	6.0421867	6.120241	5.8693247	6.367852	6.0164046	6.3950663	6.045304
1376738_at	7.0613804	7.2000723	7.1728535	7.2101355	7.350583	7.0418897	6.8341846	7.104725	7.177904	7.026087	6.9303937	7.194267	7.105879	7.2989902	6.987464	7.231161	7.180803	7.151087	7.1430874	7.120242	6.8715057	7.3949814	7.1549425	7.207169	7.247494	7.289326	7.146318	6.8127604	7.161551	7.062116
1376739_at	7.4792337	6.549611	7.7201586	7.918151	7.468763	7.562747	7.4717946	7.491745	7.586735	7.1577764	7.462194	7.457287	7.0753403	7.757383	7.6736126	7.693701	7.640518	7.479905	7.280667	7.455126	7.5219564	7.5172997	7.604825	7.047714	7.4095955	7.787619	7.086481	7.5948386	7.6019354	7.56616
1376740_at	5.7225842	5.8432136	5.696224	5.9242363	5.7656684	5.868494	5.8895264	5.871628	5.5393724	6.022947	5.534159	5.979622	5.9148808	5.6054916	5.8558893	5.5903487	5.7830186	5.8777075	5.745957	5.817901	5.737385	5.7611456	5.888555	6.007096	5.8204494	5.6683984	5.8834205	5.955311	5.6649237	5.8146176
1376741_at	3.046727	3.3819146	2.9577484	3.5315335	3.2796059	3.3702242	3.325211	3.0550466	3.4410946	3.0185502	3.406805	3.5281234	3.3860583	3.1359553	3.26224	3.2186983	3.0889132	3.2935276	3.3213162	3.3374443	3.277855	3.172468	3.2547576	3.19681	3.1123607	3.4240892	3.1766434	3.128097	3.307937	3.4034193
1376742_at	3.0798986	3.081709	3.140622	3.385933	3.0794048	2.7467575	2.7497354	2.9762907	3.2620707	2.8267345	3.0617197	2.9822793	2.9619515	2.9655707	3.2669823	3.1170373	3.2045546	3.0922325	3.0670466	2.95781	3.221629	3.1626396	2.9343648	2.8910122	2.8577247	3.2105012	3.143962	3.1084316	2.9148924	3.080503
1376743_at	3.5514889	3.548367	3.614909	3.4326777	3.625434	3.364862	3.4015572	3.714824	3.4987476	3.614764	3.6354928	3.5016122	3.6154587	3.5160112	3.6775122	3.6433923	3.5693393	3.7609894	3.4559302	3.793813	3.7590847	3.3913534	3.55446	3.4320273	3.473177	3.3085139	3.448683	3.6504817	3.532916	3.5504212
1376744_at	5.2050266	3.7991173	4.7865095	3.7240202	3.7445624	4.354029	5.453937	3.8019662	5.022271	3.717276	4.625309	4.428787	4.1787796	4.6119723	4.063497	4.812742	4.36605	4.16838	4.234173	4.740703	4.4566846	4.366973	4.101889	3.8691006	4.791841	4.2818193	3.8050294	3.6888885	3.8655088	4.094594
1376745_at	6.7217846	6.7262793	6.88815	6.7065206	7.008382	6.6356926	6.9105196	6.947077	6.82336	6.6972623	6.6578074	6.8210096	6.762318	6.821902	6.6231813	7.052549	6.9436455	6.806298	6.5157504	6.9614396	6.677224	6.966302	6.805292	6.6398683	6.7343516	6.740722	6.7483916	6.788134	6.6958575	6.6594267
1376746_at	5.5425396	5.648041	5.3987226	5.4429264	5.5955124	5.3450165	5.492388	5.190614	5.4007688	5.6072836	5.6969357	5.674419	5.3457274	5.465376	5.2155294	5.387211	5.5124354	5.4112372	5.5540934	5.365179	5.3969593	5.553722	5.3455334	5.417157	5.71911	5.604518	5.4618263	5.24127	5.301093	5.439284
1376747_at	5.5174026	6.226421	5.5592346	5.4499693	5.675824	5.8225055	5.6402435	5.0213985	5.7154922	5.5781775	5.0674763	5.6659636	5.7104673	5.3881006	5.2182474	5.3102756	5.4584217	5.5364437	5.5165415	5.3015537	5.075033	5.524634	5.478218	5.856762	5.614463	5.815292	5.6804495	5.178646	5.4960423	4.999432
1376748_at	2.4562633	2.4004135	2.3273757	2.5936308	2.323423	2.1421304	2.4075875	2.3315277	2.3515787	2.2197378	2.587048	2.4612055	2.3509736	2.58269	2.5008514	2.498441	2.302619	2.592375	2.3583567	2.355798	2.3000097	2.380922	2.369935	2.2235281	2.3250132	2.4837224	2.3133216	2.47511	2.6038845	2.3634224
1376749_at	6.960505	7.2825375	6.769125	7.186853	7.0447645	6.990651	6.963849	7.0775304	7.267917	7.9263124	7.074584	6.741396	7.119748	7.214536	6.939064	7.2177286	7.0501933	7.13519	7.1173754	6.966798	7.0547295	6.98532	6.9233093	7.033507	7.1081	6.9269753	6.9399953	7.143183	6.822809	7.2732325
1376750_at	4.040254	4.142401	4.171518	4.2117486	4.1244154	4.357528	4.1587777	4.4414706	3.9182236	4.076736	4.376393	4.250703	4.1889076	4.12541	4.19315	4.299943	4.1814914	4.268802	4.1026635	4.6351194	4.069889	3.9978974	4.1501303	3.8886018	4.166886	3.9533496	4.068065	4.1041403	4.1169024	4.26858
1376751_at	5.5895286	5.400148	5.664185	5.618373	5.5907035	5.6170235	5.7004747	5.415304	5.5500584	5.419203	5.7621574	5.6550174	5.612828	5.5900254	5.3809986	5.4736314	5.272749	5.629137	5.568124	5.6383014	5.6261916	5.618683	5.6496735	5.7647495	5.6863933	5.6397424	5.5917687	5.8564487	5.649337	5.460441
1376752_at	2.8965032	3.2879372	3.058833	3.2340865	3.0630658	2.960706	3.5633821	3.1532905	3.2405362	3.0628054	3.0208478	3.3035882	3.2787547	3.0373967	3.270419	3.3196383	3.1858177	3.4740133	3.3380299	3.072009	3.0525525	3.230555	3.1873946	3.0908887	3.1076093	3.3808725	2.9209766	3.2987256	3.3299136	3.0232053
1376753_at	6.9601145	7.1969533	7.246077	7.156885	7.0114374	7.121241	7.188234	6.9944987	7.1909533	7.1467805	6.726254	6.8008256	7.257356	6.9406056	6.7398324	6.9265323	7.005347	7.106198	7.035898	6.9912324	6.8892317	7.0082045	7.174612	7.38019	7.019804	7.271519	7.214627	7.0532594	6.9783936	6.7218204
1376754_at	7.205101	7.5790024	7.464191	7.5353174	7.4075727	7.310643	7.638502	7.200553	7.3100023	7.3959403	7.4650583	7.5872436	7.7249703	7.352957	7.4248548	7.280166	7.3435407	7.296476	7.3803196	7.7056375	7.2968807	7.5391293	7.3786516	7.2230496	7.703438	7.540902	7.385826	7.3246164	7.435274	7.2382364
1376755_at	9.621102	9.574092	9.707075	9.507364	9.709722	8.962856	9.563432	9.789182	8.843574	9.337041	9.543144	9.763548	9.26248	9.857258	9.756487	9.070174	9.790691	9.056615	9.145046	9.767234	9.2126465	9.59149	9.045634	8.604223	9.476002	8.718199	9.24841	9.400602	9.025871	9.414703
1376756_at	5.2091646	5.307908	4.9066215	5.2680807	5.035888	5.329854	5.0836725	5.078717	5.175048	5.0784225	5.1285954	5.3280516	5.0023136	5.0681124	5.3911	5.032569	5.235423	5.5977383	5.2801304	5.1952276	5.236554	5.1072407	5.1233006	5.3210773	5.3216877	5.2144995	5.3432026	5.3707266	5.2229414	5.381241
1376757_at	4.66399	4.5394354	4.5798464	4.8066635	4.704153	4.5763025	4.7281914	4.862153	4.8351784	4.825507	4.864106	4.6245327	4.671833	4.6108503	4.524062	4.7635307	4.7408476	4.875883	4.7875547	4.8197947	4.7773833	4.9535465	4.819586	4.7598195	4.8479548	4.544381	4.9024954	4.486334	4.4999733	4.8126965
